id,address,city,state,price,bedrooms,bathrooms,sqft,year_built,lat,lng,description,condition
221,761 Pine Avenue,Philadelphia,PA,780000.0,3,3.5,2759,1988,39.8977,-75.2368,Spacious property with large backyard,Good
222,8919 Pine Avenue,Houston,TX,605565,3,3.5,1258,2005,29.7585,-95.4407,Move-in ready home with recent upgrades,Good
223,7524 Maple Drive,Tampa,FL,616068,3,2.5,1270,1993,27.9918,-82.5103,Comfortable single-family residence,Good
224,5659 Sunflower Place,San Jose,CA,1920000.0,5,3,2755,2002,37.3945,-121.9224,Ideal starter home or investment property,Good
225,1824 Beech Street,Chicago,IL,546563,3,3.5,1526,2000,41.8287,-87.653,Charming home with great curb appeal,Fair
226,4080 Sycamore Way,Oakland,CA,1133774,3,1.5,2271,1988,37.821,-122.3279,Charming home with great curb appeal,Fair
227,7550 Palm Place,El Paso,TX,409394,3,3.5,2543,2002,31.8141,-106.4323,Peaceful setting with mature trees,Fair
228,3599 Magnolia Way,Indianapolis,IN,382609,2,2,1147,2001,39.8191,-86.2158,Comfortable single-family residence,Fair
229,2403 Chestnut Street,Detroit,MI,234518,4,3,1465,1988,42.2804,-82.9774,Ideal starter home or investment property,Excellent
230,6936 Palm Way,Fort Worth,TX,489282,3,2.5,2485,1997,32.6794,-97.2822,Beautiful family home in a quiet neighborhood,Good
231,5556 Dogwood Avenue,Fort Worth,TX,380474,3,1.5,1511,1997,32.7379,-97.3307,Energy-efficient home with low utility costs,Good
232,3933 Juniper Boulevard,Memphis,TN,329407,3,2.5,1247,2004,35.2287,-90.0997,Ideal starter home or investment property,Good
233,9470 Tulip Drive,Long Beach,CA,1320000.0,3,2,1640,1997,33.7493,-118.192,Beautiful family home in a quiet neighborhood,Good
234,7349 Hemlock Circle,Phoenix,AZ,639737,3,2,1268,2002,33.4812,-112.0363,Convenient location near shopping and parks,Good
235,8099 Elm Court,Mesa,AZ,571644,3,2,1219,2003,33.4327,-111.7874,Well-maintained home close to schools,Good
236,2854 Violet Place,Arlington,TX,381206,3,2,1534,1998,32.7475,-97.0926,Comfortable single-family residence,Good
237,4730 Beech Way,Austin,TX,849951,2,3.5,1446,1994,30.2816,-97.8029,Comfortable single-family residence,Good
238,7385 Alder Boulevard,Memphis,TN,314028,3,2.5,3063,2016,35.1453,-90.0807,Convenient location near shopping and parks,Good
239,6258 Poplar Court,Denver,CO,740582,5,3,1854,2009,39.7828,-105.0295,Charming home with great curb appeal,Fair
240,7699 Daisy Lane,Memphis,TN,456000.0,5,3.5,2851,1985,35.1078,-90.1228,Convenient location near shopping and parks,Fair
241,3907 Sunflower Drive,Dallas,TX,767492,4,3,1476,2022,32.8294,-96.7517,Modern home with open floor plan,Fair
242,3357 Spruce Boulevard,El Paso,TX,428063,4,2,2816,2000,31.7929,-106.4075,Classic style home with modern amenities,Good
243,5139 Sycamore Way,Houston,TX,413114,3,1.5,1587,2004,29.8369,-95.371,Beautiful family home in a quiet neighborhood,Good
244,7073 Cedar Place,Virginia Beach,VA,638996,5,2,1396,2009,36.8386,-75.9521,Bright and airy home with lots of natural light,Good
245,7854 Ash Road,Columbus,OH,305962,2,2,1168,2004,40.013,-83.0368,Charming home with great curb appeal,Good
246,669 Alder Circle,Seattle,WA,1299841,3,1.5,1602,2011,47.6672,-122.2682,Comfortable single-family residence,Excellent
247,6791 Sunflower Avenue,Baltimore,MD,600000.0,3,2,2250,2022,39.3054,-76.6532,Energy-efficient home with low utility costs,Good
248,909 Rose Court,Mesa,AZ,634338,4,3.5,2004,2009,33.3844,-111.7874,Convenient location near shopping and parks,Good
249,3115 Hemlock Road,Memphis,TN,309679,4,2,2905,1992,35.2008,-89.9753,Move-in ready home with recent upgrades,Excellent
250,4861 Spruce Drive,Tulsa,OK,456000.0,4,1.5,1581,1991,36.075,-95.9508,Comfortable single-family residence,Good
251,5290 Magnolia Street,Virginia Beach,VA,720000.0,4,3.5,3072,2011,36.8953,-75.9033,Modern home with open floor plan,Good
252,5096 Maple Avenue,El Paso,TX,287544,4,2,1905,2001,31.6909,-106.4893,Energy-efficient home with low utility costs,Good
253,4679 Main Street,Phoenix,AZ,471134,5,2.5,1505,2007,33.3741,-112.0414,Ideal starter home or investment property,Excellent
254,9047 Elm Circle,Tulsa,OK,283457,4,2,2420,1995,36.0868,-95.9761,Updated kitchen and bathrooms,Good
255,3033 Orchid Way,Wichita,KS,420000.0,3,2.5,1839,2022,37.7455,-97.3878,Energy-efficient home with low utility costs,Good
256,9215 Chestnut Court,New York,NY,867955,3,1.5,1377,1991,40.6545,-73.9515,Spacious property with large backyard,Excellent
257,2170 Ivy Road,Kansas City,MO,504000.0,4,3.5,2329,1993,39.1343,-94.5013,Peaceful setting with mature trees,Good
258,4660 Olive Way,New York,NY,958080,3,1.5,2528,1999,40.6525,-74.0551,Updated kitchen and bathrooms,Fair
259,9796 Holly Lane,Albuquerque,NM,532346,3,2.5,1743,1989,35.0696,-106.6484,Family-friendly neighborhood property,Excellent
260,2028 Laurel Circle,Sacramento,CA,857671,3,3,1382,2005,38.6133,-121.5196,Energy-efficient home with low utility costs,Excellent
261,940 Violet Boulevard,Baltimore,MD,600000.0,3,3,3192,1997,39.2758,-76.6335,Well-maintained home close to schools,Good
262,7181 Juniper Way,Fresno,CA,632299,4,2.5,3182,1995,36.7652,-119.7743,Well-maintained home close to schools,Good
263,9776 Elm Avenue,Jacksonville,FL,409595,5,3,1534,2007,30.2677,-81.6395,Ideal starter home or investment property,Excellent
264,6850 Dogwood Circle,Chicago,IL,900000.0,4,2,1868,1988,41.7983,-87.6337,Classic style home with modern amenities,Fair
265,9547 Magnolia Place,Oakland,CA,1560000.0,4,2,1629,1998,37.8292,-122.2936,Modern home with open floor plan,Excellent
266,8308 Walnut Circle,Wichita,KS,300995,4,3,2236,2002,37.722,-97.2706,Peaceful setting with mature trees,Good
267,7173 Tulip Lane,Dallas,TX,498604,3,3.5,1695,2013,32.791,-96.7284,Updated kitchen and bathrooms,Fair
268,818 Cedar Court,Oklahoma City,OK,441552,3,1.5,1505,2007,35.4087,-97.5378,Modern home with open floor plan,Good
269,2312 Hemlock Road,Indianapolis,IN,464223,4,2.5,1181,2007,39.7912,-86.1367,Spacious property with large backyard,Fair
270,2233 Main Drive,Kansas City,MO,353047,3,2,1401,1991,39.0804,-94.5799,Move-in ready home with recent upgrades,Excellent
271,4657 Magnolia Circle,Long Beach,CA,1045447,2,2,2058,2009,33.8393,-118.1284,Energy-efficient home with low utility costs,Good
272,1289 Poplar Place,Nashville,TN,789910,4,2,1665,1997,36.2035,-86.7539,Convenient location near shopping and parks,Good
273,9243 Tulip Lane,Fresno,CA,665789,5,3,1237,2014,36.7391,-119.8077,Beautiful family home in a quiet neighborhood,Fair
274,9149 Magnolia Boulevard,Tampa,FL,744000.0,3,2,2868,1993,27.9933,-82.4114,Charming home with great curb appeal,Good
275,7414 Beech Court,San Diego,CA,1157983,3,2,1528,2022,32.6938,-117.0912,Peaceful setting with mature trees,Excellent
276,8777 Lily Drive,Jacksonville,FL,428824,4,1.5,1367,1997,30.2991,-81.6669,Well-maintained home close to schools,Fair
277,3913 Cypress Street,Memphis,TN,282889,3,2.5,1108,1991,35.1377,-90.117,Beautiful family home in a quiet neighborhood,Excellent
278,5672 Ivy Lane,Raleigh,NC,770297,4,1.5,2455,1990,35.7339,-78.7002,Ideal starter home or investment property,Good
279,6887 Ivy Lane,Albuquerque,NM,327292,3,1.5,1534,2010,35.0997,-106.5892,Well-maintained home close to schools,Good
280,9316 Ivy Avenue,Washington,DC,1320000.0,4,2.5,2349,1986,38.8695,-77.1059,Modern home with open floor plan,Excellent
281,1862 Pine Boulevard,Memphis,TN,384674,2,3,1952,2004,35.228,-90.0486,Classic style home with modern amenities,Excellent
282,6488 Sycamore Court,San Francisco,CA,2640000.0,3,3,3138,2003,37.7786,-122.411,Family-friendly neighborhood property,Good
283,3730 Juniper Drive,San Jose,CA,1243391,4,2,1157,2021,37.2827,-121.8239,Convenient location near shopping and parks,Good
284,2890 Maple Lane,Boston,MA,1172042,3,3,2452,2019,42.3289,-71.0977,Updated kitchen and bathrooms,Good
285,6648 Chestnut Court,Atlanta,GA,457692,4,3,1430,2001,33.7503,-84.4643,Beautiful family home in a quiet neighborhood,Good
286,9567 Sunflower Way,Mesa,AZ,625454,4,1.5,2140,1997,33.3472,-111.7874,Beautiful family home in a quiet neighborhood,Good
287,1281 Palm Circle,Virginia Beach,VA,494619,2,2,2275,1989,36.8659,-75.9791,Spacious property with large backyard,Fair
288,9637 Walnut Lane,Raleigh,NC,563274,3,3.5,2346,1999,35.7649,-78.6698,Updated kitchen and bathrooms,Good
289,324 Palm Boulevard,Charlotte,NC,575314,3,2,1211,2014,35.1943,-80.7859,Energy-efficient home with low utility costs,Good
290,9774 Rose Street,Philadelphia,PA,750055,3,3,1668,2023,39.8883,-75.1856,Spacious property with large backyard,Good
291,877 Laurel Way,Boston,MA,1347176,3,3,1502,2017,42.358,-71.075,Spacious property with large backyard,Fair
292,7178 Juniper Drive,Memphis,TN,399908,4,3.5,1878,2023,35.1652,-90.0505,Comfortable single-family residence,Good
293,7907 Lily Circle,San Jose,CA,1689303,3,2,2345,2009,37.3,-121.922,Energy-efficient home with low utility costs,Fair
294,4599 Ash Drive,Boston,MA,1384379,5,2,3172,2002,42.4279,-71.124,Beautiful family home in a quiet neighborhood,Good
295,3509 Beech Place,El Paso,TX,342949,3,3,2828,1988,31.7844,-106.503,Comfortable single-family residence,Good
296,7460 Holly Boulevard,Phoenix,AZ,671892,4,1.5,2057,2011,33.3856,-112.0247,Well-maintained home close to schools,Excellent
297,7160 Hickory Court,Omaha,NE,496557,5,3,2916,2021,41.2573,-95.9377,Charming home with great curb appeal,Good
298,4068 Maple Lane,Dallas,TX,760527,5,2,2185,2015,32.7826,-96.7483,Bright and airy home with lots of natural light,Good
299,3579 Orchid Lane,Raleigh,NC,840000.0,4,2,2517,2000,35.8388,-78.6483,Ideal starter home or investment property,Fair
300,6894 Spruce Avenue,Philadelphia,PA,780000.0,3,2,2515,2019,39.9391,-75.1218,Modern home with open floor plan,Good
301,3115 Alder Drive,Kansas City,MO,351139,4,2,1307,2013,39.0366,-94.5926,Ideal starter home or investment property,Good
302,4926 Birch Road,Baltimore,MD,600000.0,5,1.5,3077,2016,39.3155,-76.6192,Classic style home with modern amenities,Good
303,1023 Hickory Boulevard,Dallas,TX,629575,3,3.5,1787,1999,32.6986,-96.7817,Convenient location near shopping and parks,Good
304,6043 Walnut Drive,Portland,OR,1029588,3,2,1610,2018,45.5417,-122.6464,Family-friendly neighborhood property,Good
305,8115 Tulip Avenue,Mesa,AZ,592520,3,3,1870,1993,33.4636,-111.9061,Comfortable single-family residence,Good
306,8341 Lily Court,Miami,FL,1140000.0,3,2,2510,2009,25.7423,-80.2617,Updated kitchen and bathrooms,Good
307,8792 Juniper Place,Washington,DC,893003,2,2.5,1194,2013,38.8769,-77.0777,Spacious property with large backyard,Good
308,7984 Olive Road,Indianapolis,IN,474860,2,2,2909,1999,39.7359,-86.217,Family-friendly neighborhood property,Good
309,1914 Hemlock Court,Philadelphia,PA,514996,3,3.5,3118,1987,39.9405,-75.1228,Modern home with open floor plan,Good
310,1851 Main Boulevard,Kansas City,MO,305114,4,2.5,1540,2003,39.131,-94.6145,Family-friendly neighborhood property,Excellent
311,4041 Willow Way,Sacramento,CA,900000.0,4,2,3142,2003,38.658,-121.571,Ideal starter home or investment property,Good
312,2953 Daisy Circle,Virginia Beach,VA,720000.0,2,2.5,2502,2002,36.9196,-75.98,Well-maintained home close to schools,Good
313,1415 Cypress Drive,Louisville,KY,386124,3,3,1316,2007,38.2138,-85.7519,Beautiful family home in a quiet neighborhood,Fair
314,4194 Walnut Street,Sacramento,CA,766570,2,1.5,1487,2021,38.5544,-121.4327,Comfortable single-family residence,Excellent
315,934 Palm Court,Mesa,AZ,603371,5,3,2831,1992,33.4002,-111.9114,Ideal starter home or investment property,Good
316,2175 Cedar Place,Boston,MA,1439831,4,3.5,1221,1992,42.3461,-71.1169,Spacious property with large backyard,Good
317,6357 Beech Lane,San Jose,CA,1920000.0,5,2,2468,1985,37.3076,-121.848,Comfortable single-family residence,Excellent
318,5551 Fir Way,Boston,MA,944471,4,3.5,1407,1992,42.3786,-71.0444,Classic style home with modern amenities,Good
319,892 Cedar Court,San Jose,CA,1787933,4,1.5,1100,2005,37.3366,-121.8338,Convenient location near shopping and parks,Good
320,390 Daisy Road,Raleigh,NC,512931,3,3,1777,2007,35.7073,-78.7082,Spacious property with large backyard,Good
321,264 Ash Drive,El Paso,TX,456000.0,3,3.5,3024,1996,31.786,-106.4815,Move-in ready home with recent upgrades,Excellent
322,4829 Cedar Way,Seattle,WA,1268759,3,2,2064,2006,47.6055,-122.3025,Move-in ready home with recent upgrades,Good
323,6358 Willow Avenue,Raleigh,NC,840000.0,4,2,3068,1995,35.8444,-78.6733,Well-maintained home close to schools,Excellent
324,3300 Spruce Boulevard,Nashville,TN,493320,2,2.5,1110,2014,36.1674,-86.7412,Spacious property with large backyard,Good
325,6933 Fir Avenue,Albuquerque,NM,514350,3,2,2908,2014,35.1287,-106.5954,Energy-efficient home with low utility costs,Good
326,8766 Lily Circle,Sacramento,CA,900000.0,4,2,1983,2018,38.5346,-121.5514,Modern home with open floor plan,Good
327,1451 Daisy Lane,Mesa,AZ,643244,3,2,2368,1990,33.4281,-111.877,Beautiful family home in a quiet neighborhood,Fair
328,9549 Sycamore Avenue,Arlington,TX,624000.0,3,3.5,2864,2009,32.7303,-97.0576,Well-maintained home close to schools,Fair
329,6586 Sunflower Drive,San Jose,CA,1788140,4,2,3114,2018,37.2594,-121.9118,Bright and airy home with lots of natural light,Good
330,1473 Dogwood Court,Tulsa,OK,417156,4,2,2562,1992,36.1813,-96.0028,Updated kitchen and bathrooms,Good
331,2107 Sycamore Way,Mesa,AZ,509619,2,1.5,2449,2019,33.4746,-111.8446,Family-friendly neighborhood property,Good
332,6743 Laurel Place,San Jose,CA,1920000.0,4,3,2394,1995,37.307,-121.8532,Bright and airy home with lots of natural light,Good
333,7939 Orchid Drive,Dallas,TX,780000.0,5,3,1660,2020,32.7586,-96.7435,Move-in ready home with recent upgrades,Good
334,7747 Tulip Road,Las Vegas,NV,542541,2,2,1434,2017,36.2269,-115.1782,Peaceful setting with mature trees,Good
335,9205 Holly Place,San Antonio,TX,380108,3,3,2454,2020,29.4607,-98.5208,Convenient location near shopping and parks,Fair
336,6412 Hickory Circle,Las Vegas,NV,612794,5,2,2408,1996,36.1904,-115.153,Comfortable single-family residence,Good
337,2704 Hemlock Circle,Fresno,CA,670825,4,2.5,1258,1994,36.8009,-119.7842,Well-maintained home close to schools,Good
338,8635 Dogwood Road,Indianapolis,IN,437186,3,3.5,1703,2002,39.7297,-86.1924,Family-friendly neighborhood property,Good
339,4733 Holly Way,San Francisco,CA,2134772,3,2,1930,2016,37.78,-122.4235,Energy-efficient home with low utility costs,Fair
340,1810 Tulip Place,Albuquerque,NM,434220,4,2,3108,2009,35.0335,-106.5715,Beautiful family home in a quiet neighborhood,Excellent
341,4872 Hemlock Drive,Boston,MA,1405899,4,1.5,1855,2010,42.3303,-71.0069,Updated kitchen and bathrooms,Good
342,9806 Sycamore Way,San Diego,CA,1483638,4,2,1110,1988,32.6609,-117.131,Updated kitchen and bathrooms,Good
343,5502 Holly Avenue,Tucson,AZ,391216,4,1.5,1175,2016,32.2125,-110.9638,Classic style home with modern amenities,Good
344,7987 Birch Avenue,Houston,TX,660000.0,4,2,2086,2020,29.7632,-95.4277,Bright and airy home with lots of natural light,Good
345,6996 Spruce Drive,Seattle,WA,1351774,4,3,1139,1993,47.5429,-122.3057,Family-friendly neighborhood property,Good
346,941 Alder Street,Sacramento,CA,590141,5,2.5,1679,2023,38.6418,-121.4841,Well-maintained home close to schools,Good
347,2329 Elm Road,Houston,TX,476642,3,1.5,2340,2003,29.7682,-95.3243,Ideal starter home or investment property,Good
348,1368 Beech Circle,Miami,FL,967266,3,3.5,1780,2018,25.6967,-80.2132,Beautiful family home in a quiet neighborhood,Fair
349,5837 Violet Way,San Francisco,CA,2640000.0,4,2.5,1944,2006,37.8201,-122.4738,Well-maintained home close to schools,Good
350,2813 Palm Street,Columbus,OH,459335,3,3.5,1153,1994,39.9382,-83.0478,Beautiful family home in a quiet neighborhood,Good
351,9153 Sunflower Place,Miami,FL,1048300,3,1.5,1122,1992,25.7915,-80.1936,Bright and airy home with lots of natural light,Good
352,5026 Violet Road,Wichita,KS,398485,4,2.5,2914,2002,37.6386,-97.4042,Ideal starter home or investment property,Good
353,6100 Birch Place,Raleigh,NC,831047,4,3,3181,2006,35.7056,-78.6675,Classic style home with modern amenities,Good
354,9519 Willow Court,Detroit,MI,420000.0,4,1.5,2434,2018,42.2908,-83.0708,Charming home with great curb appeal,Good
355,3997 Fir Place,San Diego,CA,1548431,3,3.5,2275,2005,32.7598,-117.1929,Convenient location near shopping and parks,Good
356,2488 Olive Avenue,New York,NY,916702,3,2,1376,2004,40.6742,-74.0069,Modern home with open floor plan,Excellent
357,7550 Ivy Street,Chicago,IL,612989,3,2,1371,1996,41.8489,-87.6045,Spacious property with large backyard,Excellent
358,6366 Poplar Boulevard,Albuquerque,NM,493349,5,3,1181,2016,35.0331,-106.6534,Peaceful setting with mature trees,Excellent
359,1381 Oak Court,Jacksonville,FL,474519,3,1.5,1209,2020,30.3565,-81.7077,Spacious property with large backyard,Excellent
360,4228 Olive Lane,Washington,DC,976906,3,2,2568,2011,38.874,-77.0146,Well-maintained home close to schools,Good
361,5009 Olive Boulevard,Raleigh,NC,686025,3,3,1397,1998,35.8526,-78.7105,Family-friendly neighborhood property,Good
362,3170 Orchid Avenue,Fort Worth,TX,654619,5,2.5,3152,2019,32.6993,-97.3156,Charming home with great curb appeal,Good
363,3469 Cedar Circle,Baltimore,MD,286898,3,1.5,1214,2022,39.2436,-76.6481,Ideal starter home or investment property,Fair
364,9197 Sunflower Court,San Francisco,CA,2163811,3,1.5,2652,2006,37.7425,-122.4352,Modern home with open floor plan,Fair
365,4983 Holly Lane,Fort Worth,TX,506597,3,3,2828,1986,32.8027,-97.3592,Family-friendly neighborhood property,Good
366,6070 Spruce Place,Tucson,AZ,352104,4,1.5,1508,2003,32.2062,-110.9578,Convenient location near shopping and parks,Good
367,1519 Main Lane,Wichita,KS,269534,4,3,1630,2000,37.6073,-97.3599,Classic style home with modern amenities,Good
368,3480 Elm Road,Washington,DC,1320000.0,3,1.5,2421,1995,38.8696,-77.0993,Family-friendly neighborhood property,Good
369,3546 Elm Drive,Tampa,FL,744000.0,4,3.5,2083,2004,27.9987,-82.4212,Family-friendly neighborhood property,Good
370,2356 Dogwood Road,Louisville,KY,504000.0,3,1.5,1660,2015,38.2213,-85.7278,Well-maintained home close to schools,Good
371,2871 Willow Lane,Tucson,AZ,576000.0,4,3.5,3075,1994,32.1989,-110.9758,Comfortable single-family residence,Good
372,983 Poplar Lane,Dallas,TX,504720,4,1.5,2121,1995,32.7076,-96.7467,Family-friendly neighborhood property,Good
373,8097 Spruce Place,Mesa,AZ,475143,2,1.5,2035,2016,33.3743,-111.8977,Beautiful family home in a quiet neighborhood,Good
374,166 Willow Boulevard,Philadelphia,PA,608256,2,1.5,2984,1999,40.0022,-75.2442,Move-in ready home with recent upgrades,Fair
375,3498 Lily Circle,Jacksonville,FL,624000.0,3,3.5,2006,1992,30.2599,-81.6879,Move-in ready home with recent upgrades,Good
376,5394 Cypress Drive,Louisville,KY,330970,2,3.5,2863,2011,38.3122,-85.7725,Comfortable single-family residence,Excellent
377,290 Pine Road,Jacksonville,FL,624000.0,4,2.5,2525,2022,30.3829,-81.6341,Convenient location near shopping and parks,Good
378,2433 Sunflower Road,Fort Worth,TX,447506,2,2,2570,1997,32.7849,-97.4057,Charming home with great curb appeal,Good
379,7522 Tulip Circle,Washington,DC,1320000.0,3,2,2315,2019,38.8813,-77.0123,Ideal starter home or investment property,Good
380,4340 Ash Street,Atlanta,GA,632844,2,2.5,2892,2013,33.7753,-84.3371,Move-in ready home with recent upgrades,Good
381,8448 Maple Boulevard,New York,NY,1068796,2,2.5,1627,1988,40.6341,-74.0659,Move-in ready home with recent upgrades,Good
382,408 Oak Road,Raleigh,NC,780846,5,2,2868,2014,35.8322,-78.5803,Beautiful family home in a quiet neighborhood,Good
383,7272 Cedar Court,Long Beach,CA,899149,4,2.5,1401,1987,33.8268,-118.1183,Move-in ready home with recent upgrades,Good
384,5012 Main Lane,Long Beach,CA,1266195,4,2,1580,2022,33.7632,-118.2543,Ideal starter home or investment property,Good
385,1891 Hemlock Street,Virginia Beach,VA,574918,3,2,1978,1994,36.9312,-76.0265,Spacious property with large backyard,Excellent
386,2688 Cypress Drive,Long Beach,CA,1320000.0,3,3.5,2316,1991,33.8336,-118.1944,Convenient location near shopping and parks,Good
387,4486 Walnut Place,Washington,DC,1320000.0,2,2,1987,1985,38.9745,-76.9626,Convenient location near shopping and parks,Good
388,3269 Hickory Lane,Nashville,TN,707104,4,2,2071,2021,36.0845,-86.772,Convenient location near shopping and parks,Excellent
389,1898 Beech Lane,Jacksonville,FL,620640,3,2.5,2965,1989,30.297,-81.6648,Modern home with open floor plan,Fair
390,3006 Laurel Street,Detroit,MI,224787,5,2,2214,1986,42.2907,-83.0688,Bright and airy home with lots of natural light,Good
391,2514 Holly Court,Houston,TX,455287,4,1.5,2939,2015,29.823,-95.4492,Move-in ready home with recent upgrades,Good
392,5562 Willow Place,Indianapolis,IN,504000.0,4,2.5,2066,2006,39.7666,-86.1271,Ideal starter home or investment property,Good
393,1982 Alder Court,Denver,CO,942765,5,2,2200,2022,39.6664,-105.0676,Comfortable single-family residence,Excellent
394,1096 Walnut Street,Boston,MA,1268332,2,3.5,1400,1992,42.3057,-71.0841,Classic style home with modern amenities,Fair
395,509 Pine Street,Fort Worth,TX,660000.0,2,2.5,2607,2000,32.6806,-97.3838,Move-in ready home with recent upgrades,Fair
396,4368 Hemlock Road,San Diego,CA,914739,3,1.5,1498,1987,32.6577,-117.1547,Peaceful setting with mature trees,Good
397,3217 Dogwood Street,Baltimore,MD,470706,3,2,2106,2003,39.3404,-76.5656,Comfortable single-family residence,Good
398,3486 Ash Road,El Paso,TX,453392,3,3,2292,2002,31.7824,-106.5036,Family-friendly neighborhood property,Good
399,8196 Walnut Road,Portland,OR,948877,4,3.5,1322,2001,45.4469,-122.6866,Peaceful setting with mature trees,Excellent
400,5572 Maple Street,Virginia Beach,VA,420671,2,3,1317,1992,36.8485,-76.0485,Energy-efficient home with low utility costs,Good
401,8729 Spruce Way,Dallas,TX,601664,3,3,2631,2004,32.7015,-96.7844,Comfortable single-family residence,Excellent
402,5468 Sycamore Boulevard,Wichita,KS,358163,5,2,2148,1999,37.6672,-97.2511,Spacious property with large backyard,Good
403,1916 Cedar Drive,Portland,OR,838388,2,2.5,2308,2020,45.4394,-122.6663,Bright and airy home with lots of natural light,Good
404,5836 Pine Avenue,Jacksonville,FL,387397,3,2,1914,2014,30.26,-81.6931,Family-friendly neighborhood property,Good
405,1692 Juniper Place,Miami,FL,1029220,3,2.5,2586,1999,25.7174,-80.2137,Family-friendly neighborhood property,Excellent
406,4952 Daisy Road,San Antonio,TX,471294,3,2.5,1472,2007,29.4097,-98.4877,Bright and airy home with lots of natural light,Good
407,677 Dogwood Boulevard,San Diego,CA,1456122,3,2,3154,2015,32.7317,-117.1097,Peaceful setting with mature trees,Excellent
408,9566 Lily Street,Oakland,CA,805284,3,3.5,1181,2016,37.8504,-122.2812,Comfortable single-family residence,Excellent
409,2119 Maple Road,Louisville,KY,397297,3,1.5,2647,1997,38.1764,-85.7868,Ideal starter home or investment property,Good
410,9487 Main Court,New York,NY,1248078,2,2.5,1348,2004,40.7455,-73.9891,Classic style home with modern amenities,Fair
411,2839 Ivy Drive,Boston,MA,1421840,4,3,1854,1993,42.341,-71.0641,Family-friendly neighborhood property,Excellent
412,5237 Violet Lane,Virginia Beach,VA,582535,4,2.5,2796,2014,36.8439,-75.971,Peaceful setting with mature trees,Good
413,7894 Orchid Avenue,Miami,FL,1082487,4,3,3007,2001,25.7594,-80.1177,Ideal starter home or investment property,Excellent
414,2917 Maple Drive,Portland,OR,723982,5,1.5,2111,2019,45.568,-122.7102,Peaceful setting with mature trees,Fair
415,6174 Juniper Drive,Chicago,IL,844046,5,1.5,2334,2000,41.906,-87.5718,Energy-efficient home with low utility costs,Good
416,667 Alder Drive,Oklahoma City,OK,415677,5,2.5,2622,2009,35.5053,-97.5254,Family-friendly neighborhood property,Good
417,6315 Lily Lane,Oakland,CA,835819,2,3.5,1172,1993,37.8054,-122.3055,Classic style home with modern amenities,Good
418,9390 Alder Way,Memphis,TN,456000.0,4,1.5,2987,1997,35.1699,-90.0187,Updated kitchen and bathrooms,Fair
419,4162 Hickory Street,Raleigh,NC,718087,3,2,1371,1995,35.8397,-78.628,Charming home with great curb appeal,Excellent
420,841 Cedar Place,Baltimore,MD,506589,3,1.5,1622,1998,39.2558,-76.6763,Peaceful setting with mature trees,Fair
421,2206 Maple Drive,Detroit,MI,420000.0,4,2.5,1834,1990,42.2526,-83.111,Modern home with open floor plan,Fair
422,4817 Daisy Court,Oakland,CA,1525365,5,1.5,2843,1997,37.8319,-122.3046,Energy-efficient home with low utility costs,Good
423,602 Cedar Court,Oakland,CA,1560000.0,3,2,2916,1994,37.7743,-122.2197,Energy-efficient home with low utility costs,Fair
424,5988 Walnut Boulevard,Los Angeles,CA,1680000.0,3,1.5,2026,2022,34.0397,-118.1955,Energy-efficient home with low utility costs,Excellent
425,4295 Chestnut Court,Houston,TX,539203,3,3.5,1495,2010,29.796,-95.4469,Family-friendly neighborhood property,Good
426,9007 Beech Street,Houston,TX,660000.0,5,2,2925,1990,29.6976,-95.305,Beautiful family home in a quiet neighborhood,Good
427,5299 Sunflower Drive,Arlington,TX,358718,4,1.5,1208,2023,32.7488,-97.0722,Classic style home with modern amenities,Excellent
428,8924 Maple Lane,Chicago,IL,793681,4,2.5,1735,2004,41.8617,-87.6117,Charming home with great curb appeal,Good
429,9751 Beech Drive,Omaha,NE,504000.0,5,2,3103,1989,41.1853,-95.991,Ideal starter home or investment property,Excellent
430,5019 Cedar Place,New York,NY,1137056,3,2.5,2766,1987,40.6875,-73.984,Well-maintained home close to schools,Fair
431,4648 Cypress Drive,Long Beach,CA,1320000.0,5,3.5,1912,2022,33.7325,-118.1439,Well-maintained home close to schools,Good
432,6652 Daisy Way,Detroit,MI,238969,3,3,1677,2021,42.2659,-83.1023,Energy-efficient home with low utility costs,Good
433,8253 Hickory Court,Arlington,TX,401295,2,3.5,1741,1989,32.798,-97.1869,Comfortable single-family residence,Good
434,6952 Sycamore Way,San Jose,CA,1591604,4,2,1745,2023,37.4075,-121.8996,Charming home with great curb appeal,Good
435,8962 Cedar Place,San Antonio,TX,564466,5,2,2784,1998,29.4103,-98.5725,Modern home with open floor plan,Excellent
436,8767 Walnut Way,Atlanta,GA,700905,2,2,1452,2022,33.724,-84.4278,Modern home with open floor plan,Good
437,9304 Hemlock Street,Wichita,KS,420000.0,4,3.5,2956,1987,37.7068,-97.3319,Family-friendly neighborhood property,Good
438,3140 Poplar Court,Arlington,TX,624000.0,3,2,2310,2007,32.7985,-97.1074,Spacious property with large backyard,Good
439,5462 Ivy Avenue,San Jose,CA,1855236,3,1.5,2990,2005,37.3119,-121.896,Ideal starter home or investment property,Good
440,1229 Willow Lane,Charlotte,NC,744000.0,4,3.5,2170,2017,35.281,-80.8005,Beautiful family home in a quiet neighborhood,Excellent
441,1576 Willow Lane,Long Beach,CA,1320000.0,5,3.5,3040,2001,33.7012,-118.2126,Classic style home with modern amenities,Good
